{'loss': 0.0, 'grad_norm': 0.08782725781202316, 'learning_rate': 5.707709890807367e-06, 'num_tokens': 4320109.0, 'completions/mean_length': 623.25, 'completions/min_length': 297.0, 'completions/max_length': 771.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 623.25, 'completions/min_terminated_length': 297.0, 'completions/max_terminated_length': 771.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 17.5, 'rewards/sorted_events_reward/std': 7.071068286895752, 'rewards/score_reward/mean': 50.5555534362793, 'rewards/score_reward/std': 20.472806930541992, 'reward': 78.05555725097656, 'reward_std': 20.6080379486084, 'frac_reward_zero_std': 0.0, 'completion_length': 623.25, 'kl': 0.03583182394504547, 'epoch': 1.1}
{'loss': 0.0, 'grad_norm': 0.10003052651882172, 'learning_rate': 5.70005382496012e-06, 'num_tokens': 4327295.0, 'completions/mean_length': 531.25, 'completions/min_length': 414.0, 'completions/max_length': 735.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 531.25, 'completions/min_terminated_length': 414.0, 'completions/max_terminated_length': 735.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 30.288463592529297, 'rewards/score_reward/std': 33.18519973754883, 'reward': 60.2884635925293, 'reward_std': 33.18519973754883, 'frac_reward_zero_std': 0.0, 'completion_length': 531.25, 'kl': 0.047879401594400406, 'epoch': 1.1}
{'loss': 0.0, 'grad_norm': 0.07219083607196808, 'learning_rate': 5.692390150432374e-06, 'num_tokens': 4336602.0, 'completions/mean_length': 745.375, 'completions/min_length': 558.0, 'completions/max_length': 1257.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 745.375, 'completions/min_terminated_length': 558.0, 'completions/max_terminated_length': 1257.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 39.6484375, 'rewards/score_reward/std': 27.282743453979492, 'reward': 69.6484375, 'reward_std': 27.282745361328125, 'frac_reward_zero_std': 0.0, 'completion_length': 745.375, 'kl': 0.023567309603095055, 'epoch': 1.1}
{'loss': 0.0, 'grad_norm': 0.09465653449296951, 'learning_rate': 5.684718901523307e-06, 'num_tokens': 4344125.0, 'completions/mean_length': 561.375, 'completions/min_length': 429.0, 'completions/max_length': 896.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 561.375, 'completions/min_terminated_length': 429.0, 'completions/max_terminated_length': 896.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 12.03125, 'rewards/score_reward/std': 23.73354721069336, 'reward': 42.03125, 'reward_std': 23.73354721069336, 'frac_reward_zero_std': 0.0, 'completion_length': 561.375, 'kl': 0.033453285694122314, 'epoch': 1.11}
{'loss': 0.0001, 'grad_norm': 0.11685802787542343, 'learning_rate': 5.677040112565997e-06, 'num_tokens': 4351319.0, 'completions/mean_length': 539.25, 'completions/min_length': 432.0, 'completions/max_length': 638.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 539.25, 'completions/min_terminated_length': 432.0, 'completions/max_terminated_length': 638.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 31.11111068725586, 'rewards/score_reward/std': 27.57705307006836, 'reward': 61.111106872558594, 'reward_std': 27.577051162719727, 'frac_reward_zero_std': 0.0, 'completion_length': 539.25, 'kl': 0.07085710018873215, 'epoch': 1.11}
{'loss': 0.0, 'grad_norm': 0.09573783725500107, 'learning_rate': 5.6693538179272715e-06, 'num_tokens': 4359363.0, 'completions/mean_length': 621.5, 'completions/min_length': 423.0, 'completions/max_length': 840.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 621.5, 'completions/min_terminated_length': 423.0, 'completions/max_terminated_length': 840.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 69.0, 'rewards/score_reward/std': 2.8284270763397217, 'reward': 99.0, 'reward_std': 2.8284270763397217, 'frac_reward_zero_std': 0.0, 'completion_length': 621.5, 'kl': 0.04139873757958412, 'epoch': 1.11}
{'loss': 0.0001, 'grad_norm': 0.1381281167268753, 'learning_rate': 5.661660052007546e-06, 'num_tokens': 4366407.0, 'completions/mean_length': 510.5, 'completions/min_length': 406.0, 'completions/max_length': 615.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 510.5, 'completions/min_terminated_length': 406.0, 'completions/max_terminated_length': 615.0, 'rewards/format_reward/mean': 7.5, 'rewards/format_reward/std': 4.629100322723389, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 62.84090805053711, 'rewards/score_reward/std': 15.377480506896973, 'reward': 90.34091186523438, 'reward_std': 15.335195541381836, 'frac_reward_zero_std': 0.0, 'completion_length': 510.5, 'kl': 0.05256099998950958, 'epoch': 1.11}
{'loss': 0.0001, 'grad_norm': 0.10533290356397629, 'learning_rate': 5.653958849240674e-06, 'num_tokens': 4373469.0, 'completions/mean_length': 506.75, 'completions/min_length': 279.0, 'completions/max_length': 653.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 506.75, 'completions/min_terminated_length': 279.0, 'completions/max_terminated_length': 653.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 65.98958587646484, 'rewards/score_reward/std': 7.466650485992432, 'reward': 95.98958587646484, 'reward_std': 7.466649532318115, 'frac_reward_zero_std': 0.0, 'completion_length': 506.75, 'kl': 0.0503586009144783, 'epoch': 1.11}
{'loss': 0.0, 'grad_norm': 0.0934084877371788, 'learning_rate': 5.646250244093798e-06, 'num_tokens': 4382343.0, 'completions/mean_length': 726.25, 'completions/min_length': 536.0, 'completions/max_length': 983.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 726.25, 'completions/min_terminated_length': 536.0, 'completions/max_terminated_length': 983.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 66.59722137451172, 'rewards/score_reward/std': 9.62450885772705, 'reward': 96.59722137451172, 'reward_std': 9.624509811401367, 'frac_reward_zero_std': 0.0, 'completion_length': 726.25, 'kl': 0.0293088611215353, 'epoch': 1.12}
{'loss': 0.0, 'grad_norm': 0.07377836108207703, 'learning_rate': 5.6385342710671805e-06, 'num_tokens': 4390585.0, 'completions/mean_length': 618.25, 'completions/min_length': 431.0, 'completions/max_length': 829.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 618.25, 'completions/min_terminated_length': 431.0, 'completions/max_terminated_length': 829.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 17.5, 'rewards/sorted_events_reward/std': 7.071068286895752, 'rewards/score_reward/mean': 52.849998474121094, 'rewards/score_reward/std': 22.670246124267578, 'reward': 80.3499984741211, 'reward_std': 29.42685890197754, 'frac_reward_zero_std': 0.0, 'completion_length': 618.25, 'kl': 0.03767772018909454, 'epoch': 1.12}
